,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
0,Belgium,England XI,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Murid Ekrami,1.5,0,35,0,0,1,19.09
1,Belgium,England XI,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Fahim Bhatti,2,0,37,0,0,1,18.50
2,Belgium,England XI,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Waqas Raja,1,0,28,0,1,0,28
3,Belgium,England XI,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Aziz Mohammad,2,0,18,0,0,3,9
4,Belgium,England XI,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Khalid Ahmadzai,2,0,30,0,1,0,15
0,England XI,Belgium,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Murid Ekrami,1.5,0,35,0,0,1,19.09
1,England XI,Belgium,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Fahim Bhatti,2,0,37,0,0,1,18.50
2,England XI,Belgium,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Waqas Raja,1,0,28,0,1,0,28
3,England XI,Belgium,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Aziz Mohammad,2,0,18,0,0,3,9
4,England XI,Belgium,| Friday 8th October | 15:00,England XI beat Belgium by 10 wickets,Khalid Ahmadzai,2,0,30,0,1,0,15
0,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Viv Kingma,2,0,24,0,1,1,12
1,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Shariz Ahmad,1,0,20,1,0,0,20
2,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Clayton Floyd,2,0,26,1,0,2,13
3,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Julian De Mey,1,0,21,0,0,1,21
4,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Ryan Klein,2,0,24,2,0,1,12
5,Netherlands XI,Belgium,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Sebastiaan Braat (c),0.2,0,4,0,0,0,12
0,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Viv Kingma,2,0,24,0,1,1,12
1,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Shariz Ahmad,1,0,20,1,0,0,20
2,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Clayton Floyd,2,0,26,1,0,2,13
3,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Julian De Mey,1,0,21,0,0,1,21
4,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Ryan Klein,2,0,24,2,0,1,12
5,Belgium,Netherlands XI,| Friday 8th October | 12:00,Belgium beat Netherlands XI by 6 wickets,Sebastiaan Braat (c),0.2,0,4,0,0,0,12
0,Belgium,England XI,| Friday 8th October | 09:00,England XI beat Belgium by 3 wickets,Murid Ekrami,2,0,14,0,0,0,7
1,Belgium,England XI,| Friday 8th October | 09:00,England XI beat Belgium by 3 wickets,Fahim Bhatti,2,0,24,0,0,1,12
2,Belgium,England XI,| Friday 8th October | 09:00,England XI beat Belgium by 3 wickets,Waqas Raja,2,0,25,3,1,0,12.50
